,IMG Genome ID,Genome Name_x,cobamide biosynthesis category,Phylum,Class,Order,Family,Genus,Species,Ecosystem Category
17,2579778976,Acetobacter sp. JCM 25146,likely corrinoid producer,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter sp. JCM 25146,
18,2579778724,Acetobacter sp. JCM 25330,possible corrinoid producer,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter sp. JCM 25330,
19,2667527850,Acetobacter tropicalis NBRC 16470,very likely corrinoid producer,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter tropicalis,
20,2513237288,Acetobacteraceae bacterium AT-5844,likely corrinoid producer,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,unclassified,Acetobacteraceae bacterium AT-5844,Human
21,2654587740,Acetobacterium bakii DSM 8239,likely corrinoid producer,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,Acetobacterium bakii,
22,2513237154,Acetobacterium dehalogenans DSM 11527,likely corrinoid producer,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,Acetobacterium dehalogenans,Wastewater
23,2512047040,"Acetobacterium woodii WB1, DSM 1030",likely corrinoid producer,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,Acetobacterium woodii,Aquatic
24,648028002,"Acetohalobium arabaticum Z-7288, DSM 5501",likely corrinoid producer,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Acetohalobium,Acetohalobium arabaticum,Aquatic
25,2695420966,Acetomicrobium flavidum DSM 20664,very likely non-producer,Synergistetes,Synergistia,Synergistales,Synergistaceae,Acetomicrobium,Acetomicrobium flavidum,Wastewater
26,651324002,"Acetonema longum APO-1, DSM 6540",very likely corrinoid producer,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Acetonema,Acetonema longum,Insecta
27,2523533587,Acholeplasma axanthum ATCC 25176,very likely non-producer,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma axanthum,Unclassified
28,2619619113,"Acholeplasma brassicae 0502, ATCC 49388",very likely non-producer,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma brassicae,Food production
29,2556921630,Acholeplasma equifetale ATCC 29724,very likely non-producer,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma equifetale,Animal
30,2545824542,Acholeplasma granularum ATCC 19168,very likely non-producer,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma granularum,Animal
31,2561511033,Acholeplasma hippikon ATCC 29725,very likely non-producer,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma hippikon,Animal
32,641522601,Acholeplasma laidlawii PG-8A,very likely non-producer,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma laidlawii,Wastewater
33,2558860159,Acholeplasma modicum ATCC 29102,very likely non-producer,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma modicum,Unclassified
34,2596583628,Acholeplasma morum 72-043,very likely non-producer,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma morum,
35,2534682370,Acholeplasma multilocale ATCC 49900,very likely non-producer,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma multilocale,Mammals
36,2619619111,"Acholeplasma oculi 19L, ATCC 27350",very likely non-producer,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma oculi,
37,2619619112,"Acholeplasma palmae J233, ATCC 49389",very likely non-producer,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma palmae,Plants
38,2513237326,Achromobacter arsenitoxydans SY8,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter arsenitoxydans,Terrestrial
39,2681812971,Achromobacter piechaudii NBRC 102461,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter piechaudii,Mammals
40,2657245062,Achromobacter sp. 2789STDY5608606,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608606,
41,2660238473,Achromobacter sp. 2789STDY5608608,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608608,
42,2657245425,Achromobacter sp. 2789STDY5608609,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608609,
43,2667527776,Achromobacter sp. 2789STDY5608611,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608611,
44,2663762935,Achromobacter sp. 2789STDY5608612,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608612,
45,2695420370,Achromobacter sp. 2789STDY5608614,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608614,
46,2667527686,Achromobacter sp. 2789STDY5608615,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608615,
47,2675903668,Achromobacter sp. 2789STDY5608616,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608616,
48,2690315973,Achromobacter sp. 2789STDY5608617,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608617,
49,2711768080,Achromobacter sp. 2789STDY5608618,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608618,
50,2675903401,Achromobacter sp. 2789STDY5608619,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608619,
51,2681813068,Achromobacter sp. 2789STDY5608620,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608620,
52,2671181065,Achromobacter sp. 2789STDY5608621,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608621,
53,2700989357,Achromobacter sp. 2789STDY5608622,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608622,
54,2660238638,Achromobacter sp. 2789STDY5608623,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608623,
55,2660238356,Achromobacter sp. 2789STDY5608624,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608624,
56,2700989241,Achromobacter sp. 2789STDY5608625,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608625,
57,2700989239,Achromobacter sp. 2789STDY5608629,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608629,
58,2657245016,Achromobacter sp. 2789STDY5608630,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608630,
59,2700989240,Achromobacter sp. 2789STDY5608632,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608632,
60,2700989242,Achromobacter sp. 2789STDY5608633,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5608633,
61,2671180663,Achromobacter sp. 2789STDY5663426,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5663426,
62,2667527731,Achromobacter sp. 2789STDY5663429,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5663429,
63,2695420400,Achromobacter sp. 2789STDY5663443,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5663443,
64,2660238403,Achromobacter sp. 2789STDY5663447,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. 2789STDY5663447,
65,2657245457,Achromobacter sp. A10,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. A10,
66,2695420680,Achromobacter sp. ATCC31444,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. ATCC31444,
67,2667527699,Achromobacter sp. CF52,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. CF52,
68,2648501678,Achromobacter sp. DMS1,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. DMS1,
69,2630968815,Achromobacter sp. LC458,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. LC458,
70,2681813522,Achromobacter sp. MFA1 R4,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. MFA1 R4,
71,2599185292,Achromobacter sp. NFACC18-2,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp.,Plants
72,2643221594,Achromobacter sp. Root170,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. Root170,
73,2643221569,Achromobacter sp. Root565,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. Root565,
74,2643221621,Achromobacter sp. Root83,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. Root83,
75,2617271298,Achromobacter sp. RTa,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter sp. RTa,
76,2654587547,Achromobacter spanius CGMCC9173,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter spanius,
77,2667527651,Achromobacter xylosoxidans A7,very likely non-producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,
78,2599185234,Acidaminobacter hydrogenoformans DSM 2784,Cbi salvager,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XII. Incertae Sedis,Acidaminobacter,Acidaminobacter hydrogenoformans,
79,2593339211,Acidaminococcus fermentans pGA-4,very likely non-producer,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus fermentans,
80,2654588173,Acidaminococcus fermentens WCC6,very likely non-producer,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus fermentens,
81,2524614855,Acidaminococcus intestini DSM 21505,very likely non-producer,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini,Human
82,2558860385,Acidaminococcus sp. BV3L6,very likely non-producer,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus sp. BV3L6,Animal
83,643886056,Acidaminococcus sp. D21,very likely non-producer,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus sp. D21,Human
84,2541047012,Acidaminococcus sp. HPA0509,very likely non-producer,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus sp. HPA0509,Human
85,644736322,"Acidimicrobium ferrooxidans ICP, DSM 10331",possible corrinoid producer,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,Acidimicrobium ferrooxidans,Aquatic
86,2561511102,Acidiphilium angustum ATCC 35903,likely corrinoid producer,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,Acidiphilium angustum,Terrestrial
87,640427101,Acidiphilium cryptum JF-5,very likely non-producer,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,Acidiphilium cryptum,Terrestrial
88,650716002,Acidiphilium multivorum AIU301,very likely corrinoid producer,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,Acidiphilium multivorum,Terrestrial
89,2681812815,Acidiphilium rubrum ATCC 35905,likely corrinoid producer,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,Acidiphilium rubrum,
90,2571042905,Acidiphilium sp. JA12-A1 (ACIDI),very likely non-producer,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,Acidiphilium sp. JA12-A1,Terrestrial
91,651324003,"Acidiphilium sp. PM, DSM 24941",very likely corrinoid producer,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,Acidiphilium sp. PM,Terrestrial
92,650716003,Acidithiobacillus caldus SM-1,very likely non-producer,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus caldus,
93,2510436001,Acidithiobacillus ferrivorans SS3,very likely non-producer,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus ferrivorans,Terrestrial
94,2684622546,Acidithiobacillus ferrooxidans Hel18,very likely non-producer,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus ferrooxidans,
95,2571042229,Acidithiobacillus thiooxidans A01,very likely non-producer,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus thiooxidans,
96,2585428127,Acidithrix ferrooxidans Py-F3 (AFO),possible corrinoid producer,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidithrix,Acidithrix ferrooxidans,Terrestrial
97,2687453111,Acidobacteria bacterium DSM 100886,very likely non-producer,Acidobacteria,unclassified,unclassified,unclassified,unclassified,Acidobacteria bacterium DSM 100886,
98,2710723991,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_61_28,very likely non-producer,Acidobacteria,unclassified,unclassified,unclassified,unclassified,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_61_28,Aquatic
99,2710724058,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_64_15,very likely non-producer,Acidobacteria,unclassified,unclassified,unclassified,unclassified,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_64_15,Aquatic
100,2710724060,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_65_29,very likely non-producer,Acidobacteria,unclassified,unclassified,unclassified,unclassified,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_65_29,Aquatic
101,2710723992,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_21,very likely non-producer,Acidobacteria,unclassified,unclassified,unclassified,unclassified,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_21,Aquatic
102,2710724059,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36,very likely non-producer,Acidobacteria,unclassified,unclassified,unclassified,unclassified,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36,Aquatic
103,2711768225,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_68_18,very likely non-producer,Acidobacteria,unclassified,unclassified,unclassified,unclassified,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_68_18,Aquatic
104,2711768313,Acidobacteria bacterium RIFCSPLOWO2_12_FULL_54_10,very likely non-producer,Acidobacteria,unclassified,unclassified,unclassified,unclassified,Acidobacteria bacterium RIFCSPLOWO2_12_FULL_54_10,Terrestrial
105,2711768360,Acidobacteria bacterium RIFCSPLOWO2_12_FULL_59_11,very likely non-producer,Acidobacteria,unclassified,unclassified,unclassified,unclassified,Acidobacteria bacterium RIFCSPLOWO2_12_FULL_59_11,Terrestrial
106,2711768415,Acidobacteria bacterium RIFCSPLOWO2_12_FULL_65_11,very likely non-producer,Acidobacteria,unclassified,unclassified,unclassified,unclassified,Acidobacteria bacterium RIFCSPLOWO2_12_FULL_65_11,Terrestrial
107,2711768361,Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21,very likely non-producer,Acidobacteria,unclassified,unclassified,unclassified,unclassified,Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21,Terrestrial
108,2711768315,Acidobacteria bacterium RIFCSPLOWO2_12_FULL_67_14,very likely non-producer,Acidobacteria,unclassified,unclassified,unclassified,unclassified,Acidobacteria bacterium RIFCSPLOWO2_12_FULL_67_14,Terrestrial
109,2711768416,Acidobacteria bacterium RIFCSPLOWO2_12_FULL_68_19,very likely non-producer,Acidobacteria,unclassified,unclassified,unclassified,unclassified,Acidobacteria bacterium RIFCSPLOWO2_12_FULL_68_19,Terrestrial
110,2519899651,Acidobacteriaceae bacterium KBS 83,very likely non-producer,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,unclassified,Acidobacteriaceae bacterium KBS 83,Terrestrial
111,2522125061,"Acidobacteriaceae bacterium KBS 89, DSM 24296",Cbi salvager,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,unclassified,Acidobacteriaceae bacterium KBS 89,
112,2522125054,"Acidobacteriaceae bacterium KBS 96, DSM 24297",very likely non-producer,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,unclassified,Acidobacteriaceae bacterium KBS 96,
113,2654587641,Acidobacteriaceae bacterium S15,very likely corrinoid producer,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Silvibacterium,Acidobacteriaceae bacterium S15,
114,2648501865,Acidobacteriaceae bacterium S55,very likely non-producer,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terracidiphilus,Acidobacteriaceae bacterium S55,
115,2524614882,Acidobacteriaceae bacterium TAA 166,Cbi salvager,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,unclassified,Acidobacteriaceae bacterium TAA166,Aquatic
116,2556921018,Acidobacteriaceae bacterium URHE0068,Cbi salvager,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,unclassified,Acidobacteriaceae bacterium URHE0068,Terrestrial
117,2556793019,Acidobacteriaceae sp. KBS 146,very likely non-producer,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,unclassified,Acidobacteria bacterium KBS 146,
118,643692001,Acidobacterium capsulatum ATCC 51196,very likely non-producer,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,Acidobacterium capsulatum,Terrestrial
119,2558860986,Acidobacterium sp. PMMR2,very likely non-producer,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,Acidobacterium sp. PMMR2,
120,2582581264,Acidocella aminolytica DSM 11237,very likely corrinoid producer,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidocella,Acidocella aminolytica,Terrestrial
121,2556921625,Acidocella facilis ATCC 35904,very likely corrinoid producer,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidocella,Acidocella facilis,Terrestrial
122,2531839705,Acidocella sp. MX-AZ02,very likely corrinoid producer,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidocella,Acidocella sp. MX-AZ02,Aquatic
123,639633001,Acidothermus cellulolyticus 11B,very likely non-producer,Actinobacteria,Actinobacteria,Acidothermales,Acidothermaceae,Acidothermus,Acidothermus cellulolyticus,Aquatic
124,2636415976,Acidovorax anthurii DSM 16745,possible corrinoid producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax anthurii,
125,650716004,Acidovorax avenae avenae ATCC 19860,possible corrinoid producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax avenae,Plants
126,2634166357,Acidovorax caeni DSM 19327,Cbi salvager,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax caeni,
127,2634166355,Acidovorax cattleyae DSM 17101,possible corrinoid producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax cattleyae,
128,2634166347,Acidovorax citrulli DSM 17060,possible corrinoid producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax citrulli,
129,645058786,Acidovorax delafieldii 2AN,Cbi salvager,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax delafieldii,Aquatic
130,643348541,Acidovorax ebreus TPSY,Cbi salvager,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax ebreus,Aquatic
131,2634166315,Acidovorax konjaci DSM 7481,possible corrinoid producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax konjaci,
132,2563366540,Acidovorax oryzae ATCC 19882,possible corrinoid producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax oryzae,Terrestrial
133,2547132375,Acidovorax radicis N35v,Cbi salvager,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax radicis,Plants
134,2675903230,Acidovorax soli DSM 25157,likely corrinoid producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax soli,
135,2511231001,Acidovorax sp. CF316,very likely corrinoid producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. CF316,Plants
136,2695420315,Acidovorax sp. GW101-3H11,Cbi salvager,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. GW101-3H11,
137,2540341243,Acidovorax sp. JHL-3,likely corrinoid producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. JHL-3,
138,2526164764,Acidovorax sp. JHL-9,Cbi salvager,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. JHL-9,
139,639633003,Acidovorax sp. JS42,Cbi salvager,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. JS42,Terrestrial
140,2519899535,Acidovorax sp. KKS102,Cbi salvager,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. KKS102,Terrestrial
141,2643221907,Acidovorax sp. Leaf160,possible corrinoid producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. Leaf160,
142,2643221925,Acidovorax sp. Leaf191,very likely corrinoid producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. Leaf191,
143,2643221788,Acidovorax sp. Leaf76,very likely corrinoid producer,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. Leaf76,
